,0
0,0.2933306542428339
1,2.7332696377062935
2,0.10431832608492173
3,2.259423518819915
4,3.3752929541540326
5,5.389844538023214
6,5.1080564600962
7,0.11538368017686751
8,1.0650286002872038
9,3.1524580595404887
10,-0.7542541730210369
11,-2.6906670306515768
12,4.041145309726063
13,2.783760889584588
14,-3.320953525133564
15,4.062258113981353
16,0.7694685311229368
17,-0.879815142294846
18,-1.7431147278146746
19,-3.559360637060078
20,5.627272982494069
21,-1.2584087864296811
22,0.5430369190923827
23,0.19220066457104568
24,2.21829635037706
25,3.752704571484648
26,4.034394454947582
27,-1.6294806124957593
28,-1.9954390430148008
29,1.0853812549792128
30,-0.128708706811575
31,2.6262279401878263
32,-1.1860995238066374
33,2.1528933730964863
34,2.601567673751768
35,-0.8902780338755651
36,-0.09707905567772185
37,2.371238999276741
38,0.9649216702422126
39,-0.5259069808664908
40,2.2912658561034323
41,-5.11497438990551
42,-2.7885152327755187
43,-5.192927201285861
44,-1.3863782330015533
45,-0.7228240181859584
46,3.2976283393764567
47,-1.604925567295965
48,3.314505889521836
49,-2.3760823800959554
50,-1.0486059319162386
51,8.100763488880911
52,3.568594878120012
53,2.1351950185116086
54,-0.7803239017043854
55,-4.252752840624987
56,0.01918484651917922
57,-2.620697350055909
58,-1.4915455468960896
59,-0.7167465618131322
60,0.05622729496291386
61,0.32919718254670727
62,-2.43264393377336
63,0.8852847906222748
64,-1.5950886799170445
65,1.8202817679766823
66,-4.997338434994706
67,1.7744810799609092
68,4.2857129690180376
69,0.09998562795723658
70,-0.6061046332307715
71,0.7376674044753572
72,0.5470390589049915
73,0.3533039550180658
74,-1.2745581761451672
75,1.3608944003799053
76,-0.09231932953367325
77,5.303537726443453
78,-1.5208995695467458
79,1.3392224705066882
80,0.8572048520187144
81,1.7959043291096273
82,-3.602911264883549
83,-3.180143103448024
84,1.539826611092101
85,-1.019969363647141
86,0.07937286906277058
87,1.906280009768271
88,-1.0487552833798057
89,-0.7711268827355208
90,-2.1684182274532104
91,1.4689085904893902
92,-0.5874897498514784
93,4.154815157281664
94,-0.5652837302352098
95,0.7704110203356708
96,1.7148886765866642
97,5.155652417834016
98,-4.378900762383013
99,-1.818031719948359
100,0.9149953457351353
101,0.7682900551289696
102,-3.166347187198781
103,-4.550778750866215
104,-3.689578499710155
105,3.5138401772821246
106,-4.812558351861517
107,4.058708543399779
108,0.17791800756433648
109,-3.10557656441762
110,0.3874229472814251
111,2.7078387645832867
112,0.7499722804157423
113,1.9400506968365487
114,-0.5598024941140817
115,-0.9633559926831973
116,-0.8516772431253691
117,-0.6353237597312177
118,-0.004528962932625558
119,3.2194255617165406
120,-1.6654597951799226
121,-8.077601540237294
122,0.7207254398324674
123,-2.3931216566556204
